"ObjectId","Lat","Lon","Alt","name","description","Street Custom","Suppport Type","SupportCondition","SignShareSupport","SignAccessibility","Sign Name","SignHeighWidth","Sign size custom","Sign text","SignCondition","SignBackingMaterial","SignFaceDirection","Sign mounting height","Barcode","R02_BG","R02_FG","R05_BG","R05_FG","notes","changed","pictureFolder","pictureName","picturePath","created","altitude","accuracy"
217,43.37431581938745,-79.74277465739215,52.331103515625,"WPT 217","Burlington ","0","u channel","Good","No","Yes","stop","Default","","","Very good","al","south","82","b03824","185","529","96","276","","","217","217_2017-10-23 16-14-49.png","/storage/emulated/0/MapIt/Pictures/Burlington /217/217_2017-10-23 16-14-49.png","2017-10-23-16-14-33","52.3311","1.0004"
216,43.37442924093102,-79.74294987848225,53.2458984375,"WPT 216","Burlington ","0","2in metal pole","Very good","Yes","No","name","Default","","duncombe dr","Very good","al","east","","","","","","","","","","","","2017-10-23-16-13-56","53.2459","0.557"
215,43.37444535266059,-79.74298764902778,53.978564453125,"WPT 215","Burlington ","0","streetlight pole","Very good","No","No","name","Default","","mericourt Dr ","Very good","al","south","","","","","","","","","215","215_2017-10-23 16-13-36.png","/storage/emulated/0/MapIt/Pictures/Burlington /215/215_2017-10-23 16-13-36.png","2017-10-23-16-13-21","53.9786","0.5982"
214,43.374652498177966,-79.74256569714635,51.170947265625,"WPT 214","Burlington ","0","2in metal pole","Very good","Yes","No","name","Default","","norrie cr","Very good","al","east","","","","","","","","","","","","2017-10-23-16-11-57","51.1709","0.8517"
213,43.37464620204082,-79.74255198303763,53.0974609375,"WPT 213","Burlington ","0","2in metal pole","Very good","Yes","No","name","Default","","mericourt dr","Very good","al","north","","","","","","","","","","","","2017-10-23-16-11-30","53.0975","0.9246"
212,43.37465625183722,-79.74255953953252,53.157275390625,"WPT 212","Burlington ","mericourt & norrie","2in metal pole","Very good","No","Yes","stop","Default","","","Fair","al","north","67","b03823","157","655","78","331","","","212","212_2017-10-23 16-10-12.png","/storage/emulated/0/MapIt/Pictures/Burlington /212/212_2017-10-23 16-10-12.png","2017-10-23-16-09-52","53.1573","0.531"
211,43.37432608120707,-79.73990007979592,52.725146484375,"WPT 211","Burlington ","0","u channel","Very good","No","Yes","nopark","Default","","","Fair","al","north","77","b3822","","","","","","","211","211_2017-10-23 16-07-30.png","/storage/emulated/0/MapIt/Pictures/Burlington /211/211_2017-10-23 16-07-30.png","2017-10-23-16-07-00","52.7251","1.304"
210,43.37409751407995,-79.73951760644923,52.040087890625,"WPT 210","Burlington ","hampton","hydro pole","Very good","No","No","speed","Default","","40","Very good","al","south","","","","","","","","","210","210_2017-10-23 16-06-02.png","/storage/emulated/0/MapIt/Pictures/Burlington /210/210_2017-10-23 16-06-02.png","2017-10-23-16-05-41","52.0401","0.8675"
209,43.3739769666754,-79.73932459487878,54.601611328125,"WPT 209","Burlington ","0","u channel","Very good","Yes","No","nostop right","Default","","","Very good","al","east","","","","","","","","","","","","2017-10-23-16-01-19","54.6016","0.709"
208,43.373995216038566,-79.73933547839442,54.115283203125,"WPT 208","Burlington ","0","u channel","Good","No","No","nopark left","Default","","","Good","al","east","","","","","","","","2017-10-23-16-01-59","208","208_2017-10-23 16-01-04.png","/storage/emulated/0/MapIt/Pictures/Burlington /208/208_2017-10-23 16-01-04.png","2017-10-23-16-00-43","54.1153","1.6875"
207,43.373747270912645,-79.7389384204962,52.8103515625,"WPT 207","Burlington ","0","u channel","Very good","No","No","nopark ","Default","","","Very good","al","east","","","","","","","","","207","207_2017-10-23 15-59-39.png","/storage/emulated/0/MapIt/Pictures/Burlington /207/207_2017-10-23 15-59-39.png","2017-10-23-15-59-14","52.8104","0.9657"
206,43.37381079050101,-79.73901143702824,51.560595703125,"WPT 206","Burlington ","0","u channel","Very good","Yes","No","name","Default","","Windermere rd","Very good","al","east","","","","","","","","","","","","2017-10-23-15-58-36","51.5606","0.9273"
205,43.373809651237934,-79.73900558709647,53.0828125,"WPT 205","Burlington ","0","hydro pole","Good","No","No","name","Default","","Hampton heath rd","Very good","al","north","","","","","","","","2017-10-23-15-58-36","205","205_2017-10-23 15-57-30.png","/storage/emulated/0/MapIt/Pictures/Burlington /205/205_2017-10-23 15-57-30.png","2017-10-23-15-57-07","53.0828","1.0643"
204,43.37389404448277,-79.73898474865382,51.459033203125,"WPT 204","Burlington ","0","u channel","Good","No","Yes","notrucks","24x24","","","Fair","al","south","84","b03821","87.3","19.9","45.3","8.6","","","204","204_2017-10-23 15-55-37.png","/storage/emulated/0/MapIt/Pictures/Burlington /204/204_2017-10-23 15-55-37.png","2017-10-23-15-55-21","51.459","1.1593"
203,43.373935520455234,-79.73912283621394,51.80205078125,"WPT 203","Burlington ","0","u channel","Good","No","Yes","stop","Default","","","Very good","al","south","93","b03820","130","432","89","264","","","203","203_2017-10-23 15-53-22.png","/storage/emulated/0/MapIt/Pictures/Burlington /203/203_2017-10-23 15-53-22.png","2017-10-23-15-53-08","51.8021","1.3875"
