"ObjectId","Lat","Lon","Alt","name","description","Street Custom","Sign Names String","Support String","Sign Conditions String","Signs Sizes String","Signs Facing String","Signs Heights String","Signs RetroIDs String","Signs Backing String","Sign text","notes","changed","pictureFolder","pictureName","picturePath","created","altitude","accuracy"
1790,43.362455098821556,-79.75651756123443,54.529345703125,"WPT 1790","b3","0","warn30 bump bump","uv","","","ssn","65 85 85","1114 1115 1116","al","","","","1790","1790_2017-11-01 17-06-23.png","/storage/emulated/0/MapIt/Pictures/b3/1790/1790_2017-11-01 17-06-23.png","2017-11-01-17-06-20","54.5293","0.8341"
1789,43.36243797990028,-79.75647814571857,53.43974609375,"WPT 1789","b3","0","noparkl","uv","","","s","","","al","","","","1789","1789_2017-11-01 17-05-50.png","/storage/emulated/0/MapIt/Pictures/b3/1789/1789_2017-11-01 17-05-50.png","2017-11-01-17-05-47","53.4397","0.5275"
1788,43.36236126195763,-79.75651601211575,54.0720703125,"WPT 1788","b3","0","noparkr","uv","","","n","","","al","","","","1788","1788_2017-11-01 17-05-19.png","/storage/emulated/0/MapIt/Pictures/b3/1788/1788_2017-11-01 17-05-19.png","2017-11-01-17-05-15","54.0721","0.6584"
1787,43.36240845436714,-79.75660834924383,53.8845703125,"WPT 1787","b3","0","warn30 bump bump","uv","","","nns","66 84 84","1111 1112 1113","al","","","","1787","1787_2017-11-01 17-03-20.png","/storage/emulated/0/MapIt/Pictures/b3/1787/1787_2017-11-01 17-03-20.png","2017-11-01-17-03-17","53.8846","0.8086"
1786,43.36245339353263,-79.75662056413603,53.559130859375,"WPT 1786","b3","0","noparkl","uv","","","n","","","al","","","","1786","1786_2017-11-01 17-02-52.png","/storage/emulated/0/MapIt/Pictures/b3/1786/1786_2017-11-01 17-02-52.png","2017-11-01-17-02-49","53.5591","1.0247"
1785,43.3629429892635,-79.75733676157324,54.45439453125,"WPT 1785","b3","0","bumpahead neighbourhoodwatch","uv","vf","","nn","62 89","1109 1110","al","","","2017-11-01-17-02-49","1785","1785_2017-11-01 17-00-24.png","/storage/emulated/0/MapIt/Pictures/b3/1785/1785_2017-11-01 17-00-24.png","2017-11-01-17-00-21","54.4544","0.6119"
1784,43.363132619493626,-79.75754708651584,55.2126953125,"WPT 1784","b3","Henderson","trafficcalmtab greenhouse begintab s40","uv","","","nnnn","44 54 72 82","1105 1106 1107 1108","al","","","","1784","1784_2017-11-01 16-57-28.png","/storage/emulated/0/MapIt/Pictures/b3/1784/1784_2017-11-01 16-57-28.png","2017-11-01-16-57-24","55.2127","0.7787"
1783,43.36994771940499,-79.75233996240604,58.127734375,"WPT 1783","b3","0","","","","","","","","al","","","","1783","1783_2017-11-01 16-42-32.png","/storage/emulated/0/MapIt/Pictures/b3/1783/1783_2017-11-01 16-42-32.png","2017-11-01-16-42-29","58.1277","0.5558"
1782,43.370333117698465,-79.75282430552943,60.716357421875,"WPT 1782","b3","0","noparklr","uv","","","n","","","al","","","","1782","1782_2017-11-01 16-41-36.png","/storage/emulated/0/MapIt/Pictures/b3/1782/1782_2017-11-01 16-41-36.png","2017-11-01-16-41-33","60.7164","0.6258"
1781,43.37074353601747,-79.75346561273182,56.519091796875,"WPT 1781","b3","0","s40","uv","","","n","82","1104","al","","","","1781","1781_2017-11-01 16-40-03.png","/storage/emulated/0/MapIt/Pictures/b3/1781/1781_2017-11-01 16-40-03.png","2017-11-01-16-39-59","56.5191","0.5187"
1780,43.370834889970865,-79.75342308037943,57.314990234375,"WPT 1780","b3","0","","","","","","","","al","","","","1780","1780_2017-11-01 16-38-59.png","/storage/emulated/0/MapIt/Pictures/b3/1780/1780_2017-11-01 16-38-59.png","2017-11-01-16-38-56","57.315","0.554"
1779,43.3701975956119,-79.7525540300885,58.07841796875,"WPT 1779","b3","0","noparklr","lv","","","s","","","al","","","","1779","1779_2017-11-01 16-38-11.png","/storage/emulated/0/MapIt/Pictures/b3/1779/1779_2017-11-01 16-38-11.png","2017-11-01-16-38-07","58.0784","0.6273"
1778,43.36987873494036,-79.75207903286537,55.374560546875,"WPT 1778","b3","0","noparklr","lv","","","s","","","al","","","","1778","1778_2017-11-01 16-35-58.png","/storage/emulated/0/MapIt/Pictures/b3/1778/1778_2017-11-01 16-35-58.png","2017-11-01-16-35-55","55.3746","0.7264"
1777,43.36980643937295,-79.75197292329358,54.860400390625,"WPT 1777","b3","timber","begintab s40","uv","","","ss","70 81","1102 1103","al","","","","1777","1777_2017-11-01 16-32-03.png|1777_2017-11-01 16-34-56.png","/storage/emulated/0/MapIt/Pictures/b3/1777/1777_2017-11-01 16-32-03.png|/storage/emulated/0/MapIt/Pictures/b3/1777/1777_2017-11-01 16-34-56.png","2017-11-01-16-32-00","54.8604","1.0917"
1776,43.36619249468913,-79.75100227111761,53.521044921875,"WPT 1776","b3","0","noparkrtime nostopl","uv","","","ww","84","1101","al","","","","1776","1776_2017-11-01 16-23-25.png","/storage/emulated/0/MapIt/Pictures/b3/1776/1776_2017-11-01 16-23-25.png","2017-11-01-16-23-22","53.521","0.529"
1775,43.36625252610975,-79.75108907335743,53.330615234375,"WPT 1775","b3","fern","nostopr","uv","","","e","","","al","","","","","","","2017-11-01-16-22-54","53.3306","0.5559"
1774,43.36761017907884,-79.75080143044033,57.512255859375,"WPT 1774","b3","0","noparkltime","uv","","","s","","","al","","","","1774","1774_2017-11-01 16-21-30.png","/storage/emulated/0/MapIt/Pictures/b3/1774/1774_2017-11-01 16-21-30.png","2017-11-01-16-21-26","57.5123","0.9195"
1773,43.36674993424003,-79.75137925583294,55.64189453125,"WPT 1773","b3","0","noparklrtime","uv","","","e","","","al","","","","1773","1773_2017-11-01 16-20-38.png","/storage/emulated/0/MapIt/Pictures/b3/1773/1773_2017-11-01 16-20-38.png","2017-11-01-16-20-35","55.6419","0.4907"
1772,43.366457327434546,-79.75105228479151,51.919970703125,"WPT 1772","b3","0","noparkrtime nostopl","uv","","","nn","84","1100","al","","","","1772","1772_2017-11-01 16-19-16.png","/storage/emulated/0/MapIt/Pictures/b3/1772/1772_2017-11-01 16-19-16.png","2017-11-01-16-19-12","51.92","0.8653"
1771,43.36639016141726,-79.7509834060238,51.86455078125,"WPT 1771","b3","0","noexit","uv","","","s","","","al","","","","1771","1771_2017-11-01 16-18-37.png","/storage/emulated/0/MapIt/Pictures/b3/1771/1771_2017-11-01 16-18-37.png","2017-11-01-16-18-33","51.8646","0.5547"
1770,43.36644146079652,-79.75088067424258,52.752001953125,"WPT 1770","b3","0","nostopr","uv","","","s","","","al","","","","1770","1770_2017-11-01 16-18-04.png","/storage/emulated/0/MapIt/Pictures/b3/1770/1770_2017-11-01 16-18-04.png","2017-11-01-16-18-01","52.752","0.4978"
1769,43.3664271485095,-79.75084143691129,56.10478515625,"WPT 1769","b3","bryant and fern","nostopl n n","lv","","","snw","","","al","","","","1769","1769_2017-11-01 16-17-31.png","/storage/emulated/0/MapIt/Pictures/b3/1769/1769_2017-11-01 16-17-31.png","2017-11-01-16-17-27","56.1048","0.6771"
1768,43.36617974792989,-79.75069831722976,57.68779296875,"WPT 1768","b3","0","noparkltime nostopr","uv","","","nn","83","1099","al","","","","1768","1768_2017-11-01 16-16-08.png","/storage/emulated/0/MapIt/Pictures/b3/1768/1768_2017-11-01 16-16-08.png","2017-11-01-16-16-05","57.6878","0.7497"
1767,43.365691477310065,-79.75002196952119,51.889697265625,"WPT 1767","b3","bryant","noparklrtime","uv","","","n","","","al","","","2017-11-01-16-15-38","1767","1767_2017-11-01 16-15-13.png","/storage/emulated/0/MapIt/Pictures/b3/1767/1767_2017-11-01 16-15-13.png","2017-11-01-16-15-10","51.8897","0.6892"
1766,43.365447215913264,-79.74876683840375,53.09013671875,"WPT 1766","b3","0","noparklr noparklr","lv","","","ww","","","al","","","","1766","1766_2017-11-01 16-13-54.png","/storage/emulated/0/MapIt/Pictures/b3/1766/1766_2017-11-01 16-13-54.png","2017-11-01-16-13-43","53.0901","0.4935"
1765,43.365348652584544,-79.74891818668038,55.2595703125,"WPT 1765","b3","0","noparklr","uv","","","w","","","al","","","","1765","1765_2017-11-01 16-13-17.png","/storage/emulated/0/MapIt/Pictures/b3/1765/1765_2017-11-01 16-13-17.png","2017-11-01-16-13-14","55.2596","0.7471"
1764,43.365195847808536,-79.7491607086522,53.083544921875,"WPT 1764","b3","0","noparkl","lv","","","e","","","al","","","","1764","1764_2017-11-01 16-12-38.png","/storage/emulated/0/MapIt/Pictures/b3/1764/1764_2017-11-01 16-12-38.png","2017-11-01-16-12-35","53.0835","0.5964"
1763,43.364993519159725,-79.74914333610104,52.099169921875,"WPT 1763","b3","0","noparklrtime","uv","","","n","","","al","","","","1763","1763_2017-11-01 16-11-51.png","/storage/emulated/0/MapIt/Pictures/b3/1763/1763_2017-11-01 16-11-51.png","2017-11-01-16-11-48","52.0992","0.6353"
1762,43.36509979067159,-79.74907407489081,54.836474609375,"WPT 1762","b3","bryant and cenaber","n","lv","","","n","","","al","","","","1762","1762_2017-11-01 16-11-19.png","/storage/emulated/0/MapIt/Pictures/b3/1762/1762_2017-11-01 16-11-19.png","2017-11-01-16-11-16","54.8365","0.5223"
1761,43.364561678024984,-79.74851458853482,56.402392578125,"WPT 1761","b3","0","noparklrtime","uv","","","n","92","1098","al","","","","1761","1761_2017-11-01 16-09-32.png","/storage/emulated/0/MapIt/Pictures/b3/1761/1761_2017-11-01 16-09-32.png","2017-11-01-16-09-29","56.4024","0.837"
1760,43.36417187371262,-79.74902053716141,51.2146484375,"WPT 1760","b3","0","noparkrtime nostopl","uv","","","ee","85","1097","al","","","","1760","1760_2017-11-01 16-07-42.png","/storage/emulated/0/MapIt/Pictures/b3/1760/1760_2017-11-01 16-07-42.png","2017-11-01-16-07-39","51.2146","0.519"
1759,43.36410888640057,-79.74895259440746,50.685595703125,"WPT 1759","b3","bryant","nostopr","uv","","","w","","","al","","","2017-11-01-16-10-27","1759","1759_2017-11-01 16-07-14.png","/storage/emulated/0/MapIt/Pictures/b3/1759/1759_2017-11-01 16-07-14.png","2017-11-01-16-07-11","50.6856","0.5311"
1758,43.36345238285776,-79.74269839545741,56.17021484375,"WPT 1758","b3","","srightintersect","uv","","","n","73","1096","al","","","","1758","1758_2017-11-01 16-02-24.png","/storage/emulated/0/MapIt/Pictures/b3/1758/1758_2017-11-01 16-02-24.png","2017-11-01-16-01-33","56.1702","0.9837"
1757,43.36309373326549,-79.74208402266959,46.897509765625,"WPT 1757","b3","0","n n","lv","","","nw","","","al","","","","1757","1757_2017-11-01 16-00-40.png","/storage/emulated/0/MapIt/Pictures/b3/1757/1757_2017-11-01 16-00-40.png","2017-11-01-16-00-37","46.8975","0.8454"
1756,43.36321859378222,-79.74208727576843,46.785205078125,"WPT 1756","b3","0","yield","uv","","","e","88","1095","al","","","","1756","1756_2017-11-01 15-59-30.png","/storage/emulated/0/MapIt/Pictures/b3/1756/1756_2017-11-01 15-59-30.png","2017-11-01-15-59-27","46.7852","0.7255"
1755,43.36360943203999,-79.7429150572516,48.443896484375,"WPT 1755","b3","0","n n","lv","","","nw","","","al","","","2017-11-01-15-58-13","1755","1755_2017-11-01 15-58-06.png","/storage/emulated/0/MapIt/Pictures/b3/1755/1755_2017-11-01 15-58-06.png","2017-11-01-15-57-52","48.4439","0.5444"
1754,43.36375985438917,-79.74287378805275,47.64677734375,"WPT 1754","b3","Pineland and waldoncroft","yield","ug","","","n","75","1094","al","","","2017-11-01-15-57-12","1754","1754_2017-11-01 15-56-27.png","/storage/emulated/0/MapIt/Pictures/b3/1754/1754_2017-11-01 15-56-27.png","2017-11-01-15-56-24","47.6468","0.6135"
1753,43.365996617361844,-79.7427586466074,47.738330078125,"WPT 1753","b3","0","n n","hv","","","nw","","","al","","","","1753","1753_2017-11-01 15-52-23.png","/storage/emulated/0/MapIt/Pictures/b3/1753/1753_2017-11-01 15-52-23.png","2017-11-01-15-52-19","47.7383","0.6034"
1752,43.36582545982037,-79.7428825521747,48.120654296875,"WPT 1752","b3","Bayfield and ashland","s","uv","","","w","","","al","","","2017-11-01-15-52-06","","","","2017-11-01-15-51-28","48.1207","0.6811"
1751,43.365608793746105,-79.74163176420734,53.264453125,"WPT 1751","b3","0","neighbourhoodwatch","uv","","","n","83","1093","al","","","","1751","1751_2017-11-01 15-49-17.png","/storage/emulated/0/MapIt/Pictures/b3/1751/1751_2017-11-01 15-49-17.png","2017-11-01-15-49-14","53.2645","1.401"
1750,43.36542072753218,-79.74191591998351,47.8484375,"WPT 1750","b3","0","s40","uv","","","n","78","1092","al","","","","1750","1750_2017-11-01 15-47-00.png","/storage/emulated/0/MapIt/Pictures/b3/1750/1750_2017-11-01 15-47-00.png","2017-11-01-15-46-57","47.8484","0.6195"
1749,43.365300409542215,-79.74194181531857,48.80009765625,"WPT 1749","b3","0","n n","lv","","","nw","","","al","","","","1749","1749_2017-11-01 15-46-29.png","/storage/emulated/0/MapIt/Pictures/b3/1749/1749_2017-11-01 15-46-29.png","2017-11-01-15-46-26","48.8001","1.1486"
1748,43.365376444736285,-79.74216929605609,51.313037109375,"WPT 1748","b3","bromley and bayfield","s","uv","","","s","86","1091","al","","","2017-11-01-15-51-26","1748","1748_2017-11-01 15-45-11.png","/storage/emulated/0/MapIt/Pictures/b3/1748/1748_2017-11-01 15-45-11.png","2017-11-01-15-45-08","51.313","0.6845"
1747,43.36419745004059,-79.74356992502362,50.43583984375,"WPT 1747","b3","0","s","uv","","","s","","","al","","","","1747","1747_2017-11-01 15-43-58.png","/storage/emulated/0/MapIt/Pictures/b3/1747/1747_2017-11-01 15-43-58.png","2017-11-01-15-43-55","50.4358","0.7468"
1746,43.36426695190403,-79.74375019310173,56.04228515625,"WPT 1746","b3","Bromley and Pineland","kidplay n n","lv","","","nnw","82","1090","al","","","","1746","1746_2017-11-01 15-42-41.png","/storage/emulated/0/MapIt/Pictures/b3/1746/1746_2017-11-01 15-42-41.png","2017-11-01-15-42-38","56.0423","0.9981"
1745,43.363294628898075,-79.74412892023065,48.211474609375,"WPT 1745","b3","0","objectlwide objectrwide","ov","ff","","ns","33 33","1088 1089","al","","","","1745","1745_2017-11-01 15-39-31.png","/storage/emulated/0/MapIt/Pictures/b3/1745/1745_2017-11-01 15-39-31.png","2017-11-01-15-39-27","48.2115","0.7027"
1744,43.36331298873756,-79.74410650965365,48.861865234375,"WPT 1744","b3","0","objectrwide objectlwide","ov","ff","","ns","33 33","1086 1087","al","","","2017-11-01-15-39-28","1744","1744_2017-11-01 15-37-54.png","/storage/emulated/0/MapIt/Pictures/b3/1744/1744_2017-11-01 15-37-54.png","2017-11-01-15-37-51","48.8619","0.6452"
1743,43.363361671439634,-79.74412385918367,49.26201171875,"WPT 1743","b3","0","noparklr","uv","","","s","","","al","","","","1743","1743_2017-11-01 15-37-34.png","/storage/emulated/0/MapIt/Pictures/b3/1743/1743_2017-11-01 15-37-34.png","2017-11-01-15-37-31","49.262","2.0398"
1742,43.36363221830834,-79.74456640553035,49.642626953125,"WPT 1742","b3","0","stopahead n n","lv","","","een","83","1085","al","","","","1742","1742_2017-11-01 15-35-52.png","/storage/emulated/0/MapIt/Pictures/b3/1742/1742_2017-11-01 15-35-52.png","2017-11-01-15-35-49","49.6426","1.0604"
1741,43.36356927656561,-79.74441145014862,49.357470703125,"WPT 1741","b3","0","s","uv","","","n","89","1084","al","","","","1741","1741_2017-11-01 15-34-32.png","/storage/emulated/0/MapIt/Pictures/b3/1741/1741_2017-11-01 15-34-32.png","2017-11-01-15-34-29","49.3575","0.6487"
1740,43.36356611464544,-79.74440145928565,51.550830078125,"WPT 1740","b3","0","noparklr","ul","","","n","","","al","","","","1740","1740_2017-11-01 15-34-07.png","/storage/emulated/0/MapIt/Pictures/b3/1740/1740_2017-11-01 15-34-07.png","2017-11-01-15-34-04","51.5508","0.7987"
1739,43.36341033685039,-79.74474049753371,49.590625,"WPT 1739","b3","0","begintab s40","uv","","","ss","72 80","1082 1083","al","","","","1739","1739_2017-11-01 15-31-17.png","/storage/emulated/0/MapIt/Pictures/b3/1739/1739_2017-11-01 15-31-17.png","2017-11-01-15-31-14","49.5906","0.5608"
1738,43.363398085316476,-79.74505353515087,51.15458984375,"WPT 1738","b3","bromley","kidplay","uv","","","n","69","1081","al","","","2017-11-01-15-33-09","1738","1738_2017-11-01 15-29-50.png","/storage/emulated/0/MapIt/Pictures/b3/1738/1738_2017-11-01 15-29-50.png","2017-11-01-15-29-47","51.1546","0.5628"
