"ObjectId","Lat","Lon","Alt","name","description","Street Custom","Sign Names String","Support String","Sign Conditions String","Signs Sizes String","Signs Facing String","Signs Heights String","Signs RetroIDs String","Signs Backing String","Sign text","notes","changed","pictureFolder","pictureName","picturePath","created","altitude","accuracy"
2204,43.54474155594744,-79.79392749187718,142.229052734375,"WPT 2204","h1","0","ol","uv","f","","n","28","1508","al","","","2017-11-04-16-14-28","2204","2204_2017-11-04 16-13-45.png","/storage/emulated/0/MapIt/Pictures/h1/2204/2204_2017-11-04 16-13-45.png","2017-11-04-16-13-43","142.2291","0.6011"
2203,43.54831340513829,-79.79884821128871,149.932666015625,"WPT 2203","h1","0","s60k","hv","","","n","","","al","","","","2203","2203_2017-11-04 16-12-38.png","/storage/emulated/0/MapIt/Pictures/h1/2203/2203_2017-11-04 16-12-38.png","2017-11-04-16-12-36","149.9327","0.5701"
2202,43.55062318251203,-79.80201532819046,151.42216796875,"WPT 2202","h1","0","s60k","hv","","","n","77","1507","al","","","","2202","2202_2017-11-04 16-10-54.png","/storage/emulated/0/MapIt/Pictures/h1/2202/2202_2017-11-04 16-10-54.png","2017-11-04-16-10-52","151.4222","0.8064"
2201,43.553551101183984,-79.8060252150608,154.03740234375,"WPT 2201","h1","0","s60b","s4","","","n","82","1506","al","","","","2201","2201_2017-11-04 16-09-12.png","/storage/emulated/0/MapIt/Pictures/h1/2201/2201_2017-11-04 16-09-12.png","2017-11-04-16-09-09","154.0374","0.7568"
2200,43.5559845905309,-79.80934705657273,157.467822265625,"WPT 2200","h1","0","ol","uv","","","n","22","1505","al","","","","2200","2200_2017-11-04 16-07-10.png","/storage/emulated/0/MapIt/Pictures/h1/2200/2200_2017-11-04 16-07-10.png","2017-11-04-16-07-09","157.4678","0.6094"
2199,43.55644921275325,-79.80992983788019,155.898486328125,"WPT 2199","h1","0","cameratab camera","lv","","","nn","","","al","","","","2199","2199_2017-11-04 16-06-22.png","/storage/emulated/0/MapIt/Pictures/h1/2199/2199_2017-11-04 16-06-22.png","2017-11-04-16-06-20","155.8985","0.6305"
2198,43.55687724629479,-79.81053003265515,156.407763671875,"WPT 2198","h1","0","lightahead","lv","","","n","","","al","","","","2198","2198_2017-11-04 16-05-44.png","/storage/emulated/0/MapIt/Pictures/h1/2198/2198_2017-11-04 16-05-44.png","2017-11-04-16-05-42","156.4078","0.518"
2197,43.560483749555715,-79.8152828082275,160.296923828125,"WPT 2197","h1","0","s noexit","s4","","","we","81 88","1503 1504","al","","","","2197","2197_2017-11-04 16-03-17.png","/storage/emulated/0/MapIt/Pictures/h1/2197/2197_2017-11-04 16-03-17.png","2017-11-04-16-03-16","160.2969","0.7065"
2196,43.56066153954362,-79.81549529835684,162.41728515625,"WPT 2196","h1","0","noexit","lv","","","e","","","al","","","","2196","2196_2017-11-04 16-02-34.png","/storage/emulated/0/MapIt/Pictures/h1/2196/2196_2017-11-04 16-02-34.png","2017-11-04-16-02-33","162.4173","0.681"
2195,43.563770458752515,-79.81928031487587,173.08037109375,"WPT 2195","h1","0","icestab ices","lv","","","nn","","","al","","","","2195","2195_2017-11-04 16-01-21.png","/storage/emulated/0/MapIt/Pictures/h1/2195/2195_2017-11-04 16-01-21.png","2017-11-04-16-01-19","173.0804","0.6572"
