Msrmt Number,0.2 Alpha Legend,0.5 Alpha Legend,0.2 Alpha Bkgrnd,0.5 Alpha Bkgrnd,Date/Time,Latitude,Longitude,Position Accuracy (m),Barcode,Standard Comments,User Comment
124,  619,  278,  148, 81.4, 10/24/2017 17:21:54, 43.371235N, 79.734485W, 11, B03878,, 
125,  523,  341,  165,  101, 10/24/2017 17:24:15, 43.371103N, 79.734208W, 11, B03879,, 
126,  0.8,  0.0, 81.2, 37.0, 10/24/2017 17:30:10, 43.369985N, 79.732628W, 11, B03880,, 
127,  579,  291,  161, 88.0, 10/24/2017 17:46:57, 43.372377N, 79.735912W, 11, B03881,, 
128, , , , , 10/24/2017 17:46:58, 43.372378N, 79.735910W, 11, ,, 
129,  0.8,  0.5,  107, 89.6, 10/24/2017 17:48:06, 43.372415N, 79.735878W, 11, B03882,, 
130,  0.8,  1.1,  139,  105, 10/24/2017 17:49:47, 43.372455N, 79.736117W, 11, B03883,, 
131,  0.8,  1.1, 73.1, 34.0, 10/24/2017 17:53:43, 43.372447N, 79.736878W, 11, B03884,, 
132,  0.8,  0.5, 77.0, 70.7, 10/24/2017 17:54:52, 43.372445N, 79.736887W, 11, B03885,, 
133,  0.8,  0.5,  441,  297, 10/24/2017 17:56:58, 43.372532N, 79.737103W, 11, B03886,, 
134,  159, 86.4,  498,  236, 10/24/2017 17:58:16, 43.372568N, 79.737085W, 11, B03887,, 
135,  232,  125,  662,  295, 10/24/2017 17:59:15, 43.372563N, 79.737102W, 11, B03888,, 
136,  612,  303,  157, 96.0, 10/24/2017 18:00:35, 43.372452N, 79.737268W, 11, B03889,, 
137,  1.6,  1.1,  332,  259, 10/24/2017 18:02:56, 43.372408N, 79.737385W, 11, B03891,, 
138,  124, 81.6,  578,  307, 10/24/2017 18:03:52, 43.372447N, 79.737430W, 11, B03891,, 
139,  150, 87.5,  581,  289, 10/24/2017 18:05:51, 43.372348N, 79.737280W, 11, B03892,, 
140,  0.8,  1.1, 22.7, 10.6, 10/24/2017 18:07:24, 43.372307N, 79.737312W, 11, B03893,, 
141,  173, 99.2,  560,  359, 10/24/2017 18:08:15, 43.372340N, 79.737383W, 11, B03894,, 
142,  249,  150,  584,  329, 10/24/2017 18:09:09, 43.372328N, 79.737370W, 11, B03895,, 
143,  659,  317,  150, 85.6, 10/24/2017 18:12:00, 43.372273N, 79.737005W, 11, B03896,, 
144,  158, 98.7,  549,  317, 10/24/2017 18:12:44, 43.372295N, 79.737050W, 11, B03897,, 
145,  258,  152,  590,  298, 10/24/2017 18:15:11, 43.372317N, 79.737052W, 11, B03898,, 
146,  561,  314,  143, 90.4, 10/24/2017 18:20:07, 43.372038N, 79.736868W, 11, B03899,, 
147,  0.8,  0.5,  0.0,  0.0, 10/24/2017 18:22:48, 43.371560N, 79.736028W, 11, B03900,, 
148,  0.8,  0.5, 95.0, 81.9, 10/24/2017 18:24:46, 43.370815N, 79.735272W, 11, B03901,, 
149, 43.1, 34.5,  112, 90.9, 10/24/2017 18:26:59, 43.370728N, 79.735130W, 11, B03902,, 
150,  540,  321,  158,  104, 10/24/2017 18:28:20, 43.370782N, 79.735082W, 11, B03903,, 
151, 17.2, 13.8,  111, 89.4, 10/24/2017 18:29:11, 43.370797N, 79.735090W, 11, B03904,, 
152,  625,  317,  156, 92.5, 10/24/2017 18:32:57, 43.369868N, 79.733100W, 11, B03905,, 
153,  169,  128,  0.8,  0.5, 10/24/2017 18:34:05, 43.369843N, 79.733127W, 11, B03906,, 
154,  0.8,  1.1, 99.0, 84.6, 10/24/2017 18:39:36, 43.370240N, 79.736112W, 11, B03907,, 
155,  1.6,  1.1,  405,  260, 10/24/2017 18:43:55, 43.370013N, 79.736315W, 11, B03909,, 
156,  0.8,  0.5, 84.8, 73.4, 10/24/2017 18:47:53, 43.372765N, 79.737625W, 11, B03910,, 
157,  515,  329,  134, 85.1, 10/24/2017 18:49:46, 43.372767N, 79.737765W, 11, B03911,, 
158,  0.8,  0.5,  159,  127, 10/24/2017 18:52:23, 43.372738N, 79.737675W, 11, B03912,, 
159,  0.8,  1.1,  160,  126, 10/24/2017 18:55:42, 43.372875N, 79.737945W, 11, B03913,, 
160,  0.8,  0.5,  114, 93.9, 10/24/2017 19:00:16, 43.373342N, 79.738237W, 11, B03914,, 
161,  164, 92.3,  678,  313, 10/24/2017 19:01:05, 43.373353N, 79.738240W, 11, B03915,, 
162,  172, 89.1,  598,  286, 10/24/2017 19:02:09, 43.373355N, 79.738243W, 11, B03916,, 
163,  517,  349,  161,  102, 10/24/2017 19:03:43, 43.373247N, 79.738423W, 11, B03917,, 
164,  129, 69.3,  545,  331, 10/24/2017 19:04:36, 43.373258N, 79.738413W, 11, B03918,, 
165,  137, 85.1,  534,  301, 10/24/2017 19:05:21, 43.373272N, 79.738407W, 11, B03919,, 
